,Player,Salary
778,Ty Jerome,
779,Ishmael Smith,
780,Jalen Smith,
781,Ziaire Williams,
782,Ousmane Dieng,
783,Moe Harkless,
784,Donte DiVincenzo,
785,Jeff Green,
786,Devin Vassell,
787,Matisse Thybulle,
788,Jarred Vanderbilt,
789,James Bouknight,
790,Brandon Clarke,
791,Jalen Williams,
792,Grant Williams,
793,Darius Bazley,
794,Tyrese Haliburton,
795,Nassir Little,
796,Josh Primo,
797,Jalen Duren,
798,Danuel House,
799,Justise Winslow,
800,Dylan Windler,
801,Stanley Johnson,
802,Kira Lewis,
803,George Hill,
804,Terence Davis,
805,Chris Duarte,
806,Alex Len,
807,Ochai Agbaji,
808,Jordan Poole,
809,Keldon Johnson,
810,Sviatoslav Mykhailiuk,
811,Aaron Nesmith,
812,Moses Moody,
813,Mark Williams,
814,Cole Anthony,
815,Corey Kispert,
816,AJ Griffin,
817,Boban Marjanovic,
818,Mike Muscala,
819,Georges Niang,
820,Isaiah Stewart,
821,Chuma Okeke,
822,Trey Burke,
823,Amir Coffey,
824,Alperen Sengun,
825,Tari Eason,
826,Aleksej Pokusevski,
827,Kevin Porter,
828,Gorgui Dieng,
829,Trey Murphy,
830,Simone Fontecchio,
831,Andre Drummond,
832,Derrick Jones,
833,Dalen Terry,
834,Sterling Brown,
835,Josh Green,
836,Jake LaRavia,
837,Tre Mann,
838,Jordan Nwora,
839,Kevin Knox,
840,Saddiq Bey,
841,Malaki Branham,
842,Kai Jones,
843,Blake Griffin,
844,Markieff Morris,
845,Goran Dragic,
846,Robin Lopez,
847,Andre Iguodala,
848,James Johnson,
849,Udonis Haslem,
850,Serge Ibaka,
851,Wesley Matthews,
852,Austin Rivers,
853,Bismack Biyombo,
854,Taj Gibson,
855,Andrew Nicholson,
856,Precious Achiuwa,
857,Christian Braun,
858,Jalen Johnson,
859,Tyrese Maxey,
860,Bruno Fernando,
861,Walker Kessler,
862,Keon Johnson,
863,Dennis Schroeder,
864,TJ Warren,
865,Matthew Dellavedova,
866,Trey Lyles,
867,Zeke Nnaji,
868,David Roddy,
869,Isaiah Jackson,
870,MarJon Beauchamp,
871,Usman Garuba,
872,Leandro Bolmaro,
873,Montrezl Harrell,
874,Frank Kaminsky,
875,Raul Neto,
876,Willy Hernangomez,
877,RJ Hampton,
878,Theo Maledon,
879,Blake Wesley,
880,Josh Christopher,
881,Joe Wieskamp,
882,Immanuel Quickley,
883,Wendell Moore,
884,John Konchar,
885,Damian Jones,
886,Rodney McGruder,
887,Bryn Forbes,
888,Ryan Arcidiacono,
889,Juan Hernangomez,
890,Quentin Grimes,
891,Saben Lee,
892,Andrew Nembhard,
893,Nikola Jovic,
894,Payton Pritchard,
895,Vlatko Cancar,
896,Patrick Baldwin,
897,TyTy Washington,
898,Bones Hyland,
899,Bol Bol,
900,Peyton Watson,
901,Marquese Chriss,
902,Udoka Azubuike,
903,Jaden McDaniels,
904,Jordan McLaughlin,
905,Malachi Flynn,
906,Cam Thomas,
907,Luke Kornet,
908,Justin Jackson,
909,Dennis Smith,
910,Juan Toscano-Anderson,
911,Damion Lee,
912,Desmond Bane,
913,Jaden Springer,
914,Day'Ron Sharpe,
915,Santiago Aldama,
916,Tony Bradley,
917,Frank Ntilikina,
918,Kenrich Williams,
919,Garrison Mathews,
920,Jaylin Williams,
921,Caleb Houstan,
922,Jeremiah Robinson-Earl,
923,Shake Milton,
924,Edmond Sumner,
925,Aaron Holiday,
926,Yuta Watanabe,
927,Theo Pinson,
928,Troy Brown,
929,Thomas Bryant,
930,Josh Okogie,
931,Drew Eubanks,
932,Daniel Gafford,
933,Terance Mann,
934,Dean Wade,
935,Jalen McDaniels,
936,Jaylen Nowell,
937,Naz Reid,
938,Isaiah Roby,
939,Chimezie Metu,
940,Davon Reed,
941,KZ Okpala,
942,Killian Tillie,
943,Wenyen Gabriel,
944,Thanasis Antetokounmpo,
945,Moritz Wagner,
946,Keita Bates-Diop,
947,Oshae Brissett,
948,Isaiah Joe,
949,Anthony Gill,
950,Nathan Knight,
951,Javonte Green,
952,Max Strus,
953,Gabe Vincent,
954,Herb Jones,
955,Lamar Stevens,
956,KJ Martin,
957,Nick Richards,
958,Tyrell Terry,
959,Xavier Tillman,
960,Naji Marshall,
961,Paul Reed,
962,Tre Jones,
963,Vernon Carey,
964,Haywood Highsmith,
965,Omer Yurtseven,
966,Jericho Sims,
967,Sam Hauser,
968,Kessler Edwards,
969,Isaiah Todd,
970,Vit Krejci,
971,JT Thor,
972,Marko Simonovic,
973,Terry Taylor,
974,BJ Boston,
975,Jason Preston,
976,Aaron Wiggins,
977,Trendon Watford,
978,Ayo Dosunmu,
979,Isaiah Livers,
980,Daishen Nix,
981,Austin Reaves,
982,Jose Alvarado,
983,Miles McBride,
984,Jock Landale,
985,Greg Brown,
986,Dalano Banton,
987,Jared Butler,
988,Christian Koloko,
989,Eric Bledsoe,
990,Kennedy Chandler,
991,Noah Vonleh,
992,Zhaire Smith,
993,Tyrese Martin,
994,Jaden Hardy,
995,Ryan Rollins,
996,Max Christie,
997,Josh Minott,
998,Jabari Walker,
999,Kyle Singler,
1000,Trevelin Queen,
1001,Justin Champagnie,
1002,Matt Ryan,
1003,Nik Stauskas,
1004,Ishmail Wainright,
1005,Juwan Morgan,
1006,Charles Bassey,
1007,Malik Fitts,
1008,Cole Swider,
1009,Vince Williams Jr,
1010,EJ Liddell,
1011,Kevon Harris,
1012,Micah Potter,
1013,Trent Forrest,
1014,JD Davison,
1015,Mfiondu Kabengele,
1016,David Duke,
1017,Bryce McGowens,
1018,Malcolm Hill,
1019,Mamadi Diakite,
1020,Isaiah Mobley,
1021,McKinley Wright,
1022,Collin Gillespie,
1023,Jack White,
1024,Buddy Boeheim,
1025,Anthony Lamb,
1026,Darius Days,
1027,Trevor Hudgins,
1028,Kendall Brown,
1029,Moses Brown,
1030,Moussa Diabate,
1031,Scottie Pippen Jr,
1032,Kenneth Lofton,
1033,Jamal Cain,
1034,AJ Green,
1035,Luka Garza,
1036,Dereon Seabron,
1037,Trevor Keels,
1038,Eugene Omoruyi,
1039,Admiral Schofield,
1040,Julian Champagnie,
1041,Duane Washington Jr,
1042,Keon Ellis,
1043,Neemias Queta,
1044,Dominick Barlow,
1045,Jeff Dowtin,
1046,Ron Harper Jr,
1047,Johnny Juzang,
1048,Jordan Goodwin,
1049,John Butler,
1050,Sandro Mamukelashvili,
1051,Lindy Waters III,
1052,Chima Moneke,
1053,Facundo Campazzo,
1054,Orlando Robinson,
1055,DaQuan Jeffries,
1056,Dru Smith,
1057,AJ Lawson,
1058,Carlik Jones,
1059,DJ Augustin,
1060,Jared Rhoden,
1061,Louis King,
1062,Robert Woodard,
1063,Didi Louzada,
1064,Jarrett Culver,
1065,Alondes Williams,
1066,DJ Wilson,
1067,PJ Dozier,
1068,Donovan Williams,
1069,Tyler Dorsey,
1070,Braxton Key,
1071,Jordan Hall,
1072,Alize Johnson,
1073,Kostas Antetokounmpo,
1074,Devon Dotson,
1075,Sam Merrill,
1076,Feron Hunt,
1077,Troy Williams,
1078,Chris Silva,
1079,Michael Foster,
1080,Deonte Burton,
1081,Jordan Schakel,
1082,Demetrius Jackson,
1083,Olivier Sarr,
1084,Quenton Jackson,
1085,DJ Steward,
1086,Armoni Brooks,
